# Derived from VarCon 2020.12.07 at crate-ci/typos commit 5e38bf262baaf477ca9f241b3a7cd3d277fd7df8.
# Includes unambiguous, verified spelling pairs through SCOWL level 70. Source and target are tab-separated.
abetter	abettor
abetter's	abettor's
abetters	abettors
abridgement	abridgment
abridgement's	abridgment's
abridgements	abridgments
absinth	absinthe
absinth's	absinthe's
absinths	absinthes
accessorise	accessorize
accessorised	accessorized
accessorises	accessorizes
accessorising	accessorizing
acclimatisation	acclimatization
acclimatisation's	acclimatization's
acclimatise	acclimatize
acclimatised	acclimatized
acclimatises	acclimatizes
acclimatising	acclimatizing
accoutre	accouter
accoutred	accoutered
accoutrement	accouterment
accoutrement's	accouterment's
accoutrements	accouterments
accoutres	accouters
accoutring	accoutering
acknowledgement	acknowledgment
acknowledgement's	acknowledgment's
acknowledgements	acknowledgments
actualisation	actualization
actualisation's	actualization's
actualisations	actualizations
actualise	actualize
actualised	actualized
actualises	actualizes
actualising	actualizing
adaptor	adapter
adaptor's	adapter's
adaptors	adapters
aeon	eon
aeon's	eon's
aeons	eons
aerofoil	airfoil
aerofoil's	airfoil's
aerofoils	airfoils
aeroplane	airplane
aeroplane's	airplane's
aeroplanes	airplanes
aesthetician	esthetician
aesthetician's	esthetician's
aestheticians	estheticians
aestival	estival
aestivate	estivate
aestivated	estivated
aestivates	estivates
aestivating	estivating
aestivation	estivation
aestivation's	estivation's
aestivations	estivations
aetiologically	etiologically
aetiology	etiology
aetiology's	etiology's
ageing	aging
ageing's	aging's
ageings	agings
aggrandise	aggrandize
aggrandised	aggrandized
aggrandisement	aggrandizement
aggrandisement's	aggrandizement's
aggrandisements	aggrandizements
aggrandiser	aggrandizer
aggrandiser's	aggrandizer's
aggrandisers	aggrandizers
aggrandises	aggrandizes
aggrandising	aggrandizing
agonise	agonize
agonised	agonized
agonises	agonizes
agonising	agonizing
agonisinglier	agonizinglier
agonisingliest	agonizingliest
agonisingly	agonizingly
alchemise	alchemize
alchemised	alchemized
alchemises	alchemizes
alchemising	alchemizing
allegorise	allegorize
allegorised	allegorized
allegorises	allegorizes
allegorising	allegorizing
alphabetisation	alphabetization
alphabetisation's	alphabetization's
alphabetisations	alphabetizations
alphabetise	alphabetize
alphabetised	alphabetized
alphabetises	alphabetizes
alphabetising	alphabetizing
aluminise	aluminize
aluminised	aluminized
aluminises	aluminizes
aluminising	aluminizing
aluminium	aluminum
aluminium's	aluminum's
aluminiums	aluminums
ambience	ambiance
ambience's	ambiance's
ambiences	ambiances
amenorrhoea	amenorrhea
amenorrhoea's	amenorrhea's
amenorrhoeas	amenorrheas
americanisation	americanization
americanised	americanized
amongst	among
amortisation	amortization
amortisation's	amortization's
amortisations	amortizations
amortise	amortize
amortised	amortized
amortises	amortizes
amortising	amortizing
amphitheatre	amphitheater
amphitheatre's	amphitheater's
amphitheatres	amphitheaters
anaemia	anemia
anaemia's	anemia's
anaemias	anemias
anaemic	anemic
anaemicer	anemicer
anaemicest	anemicest
anaemics	anemics
anaesthesia	anesthesia
anaesthesia's	anesthesia's
anaesthesias	anesthesias
anaesthesiologies	anesthesiologies
anaesthesiologist	anesthesiologist
anaesthesiologist's	anesthesiologist's
anaesthesiologists	anesthesiologists
anaesthesiology	anesthesiology
anaesthesiology's	anesthesiology's
anaesthetic	anesthetic
anaesthetic's	anesthetic's
anaestheticer	anestheticer
anaestheticest	anestheticest
anaesthetics	anesthetics
anaesthetisation	anesthetization
anaesthetisation's	anesthetization's
anaesthetisations	anesthetizations
anaesthetise	anesthetize
anaesthetised	anesthetized
anaesthetises	anesthetizes
anaesthetising	anesthetizing
anaesthetist	anesthetist
anaesthetist's	anesthetist's
anaesthetists	anesthetists
anagrammatise	anagrammatize
anagrammatised	anagrammatized
anagrammatises	anagrammatizes
anagrammatising	anagrammatizing
analogise	analogize
analogised	analogized
analogises	analogizes
analogising	analogizing
analysable	analyzable
analysabler	analyzabler
analysablest	analyzablest
analyse	analyze
analysed	analyzed
analyser	analyzer
analyser's	analyzer's
analysers	analyzers
analysing	analyzing
anathematise	anathematize
anathematised	anathematized
anathematises	anathematizes
anathematising	anathematizing
anatomise	anatomize
anatomised	anatomized
anatomises	anatomizes
anatomising	anatomizing
anglicisation	anglicization
anglicisation's	anglicization's
anglicisations	anglicizations
anglicise	anglicize
anglicised	anglicized
anglicises	anglicizes
anglicising	anglicizing
animalise	animalize
animalised	animalized
animalises	animalizes
animalising	animalizing
annualise	annualize
annualised	annualized
annualises	annualizes
annualising	annualizing
anodise	anodize
anodised	anodized
anodises	anodizes
anodising	anodizing
antagonise	antagonize
antagonised	antagonized
antagonises	antagonizes
antagonising	antagonizing
anthologise	anthologize
anthologised	anthologized
anthologises	anthologizes
anthologising	anthologizing
anthropomorphise	anthropomorphize
anthropomorphised	anthropomorphized
anthropomorphises	anthropomorphizes
anthropomorphising	anthropomorphizing
aphorise	aphorize
aphorised	aphorized
