# Derived from VarCon 2020.12.07 at crate-ci/typos commit 5e38bf262baaf477ca9f241b3a7cd3d277fd7df8.
# Includes unambiguous, verified spelling pairs through SCOWL level 70. Source and target are tab-separated.
abettor	abetter
abettor's	abetter's
abettors	abetters
abridgment	abridgement
abridgment's	abridgement's
abridgments	abridgements
accessorize	accessorise
accessorized	accessorised
accessorizes	accessorises
accessorizing	accessorising
acclimatization	acclimatisation
acclimatization's	acclimatisation's
acclimatize	acclimatise
acclimatized	acclimatised
acclimatizes	acclimatises
acclimatizing	acclimatising
accouter	accoutre
accoutered	accoutred
accoutering	accoutring
accouterment	accoutrement
accouterment's	accoutrement's
accouterments	accoutrements
accouters	accoutres
acknowledgment	acknowledgement
acknowledgment's	acknowledgement's
acknowledgments	acknowledgements
actualization	actualisation
actualization's	actualisation's
actualizations	actualisations
actualize	actualise
actualized	actualised
actualizes	actualises
actualizing	actualising
adapter	adaptor
adapter's	adaptor's
adapters	adaptors
aggrandize	aggrandise
aggrandized	aggrandised
aggrandizement	aggrandisement
aggrandizement's	aggrandisement's
aggrandizements	aggrandisements
aggrandizer	aggrandiser
aggrandizer's	aggrandiser's
aggrandizers	aggrandisers
aggrandizes	aggrandises
aggrandizing	aggrandising
aging	ageing
aging's	ageing's
agings	ageings
agonize	agonise
agonized	agonised
agonizes	agonises
agonizing	agonising
agonizinglier	agonisinglier
agonizingliest	agonisingliest
agonizingly	agonisingly
airfoil	aerofoil
airfoil's	aerofoil's
airfoils	aerofoils
airplane	aeroplane
airplane's	aeroplane's
airplanes	aeroplanes
alchemize	alchemise
alchemized	alchemised
alchemizes	alchemises
alchemizing	alchemising
allegorize	allegorise
allegorized	allegorised
allegorizes	allegorises
allegorizing	allegorising
alphabetization	alphabetisation
alphabetization's	alphabetisation's
alphabetizations	alphabetisations
alphabetize	alphabetise
alphabetized	alphabetised
alphabetizes	alphabetises
alphabetizing	alphabetising
aluminize	aluminise
aluminized	aluminised
aluminizes	aluminises
aluminizing	aluminising
aluminum	aluminium
aluminum's	aluminium's
aluminums	aluminiums
ambiance	ambience
ambiance's	ambience's
ambiances	ambiences
amenorrhea	amenorrhoea
amenorrhea's	amenorrhoea's
amenorrheas	amenorrhoeas
americanization	americanisation
americanized	americanised
among	amongst
amortization	amortisation
amortization's	amortisation's
amortizations	amortisations
amortize	amortise
amortized	amortised
amortizes	amortises
amortizing	amortising
amphitheater	amphitheatre
amphitheater's	amphitheatre's
amphitheaters	amphitheatres
anagrammatize	anagrammatise
anagrammatized	anagrammatised
anagrammatizes	anagrammatises
anagrammatizing	anagrammatising
analog	analogue
analog's	analogue's
analogize	analogise
analogized	analogised
analogizes	analogises
analogizing	analogising
analogs	analogues
analyzable	analysable
analyzabler	analysabler
analyzablest	analysablest
analyze	analyse
analyzed	analysed
analyzer	analyser
analyzer's	analyser's
analyzers	analysers
analyzes	analyses
analyzing	analysing
anathematize	anathematise
anathematized	anathematised
anathematizes	anathematises
anathematizing	anathematising
anatomize	anatomise
anatomized	anatomised
anatomizes	anatomises
anatomizing	anatomising
anemia	anaemia
anemia's	anaemia's
anemias	anaemias
anemic	anaemic
anemicer	anaemicer
anemicest	anaemicest
anemics	anaemics
anesthesia	anaesthesia
anesthesia's	anaesthesia's
anesthesias	anaesthesias
anesthesiologies	anaesthesiologies
anesthesiologist	anaesthesiologist
anesthesiologist's	anaesthesiologist's
anesthesiologists	anaesthesiologists
anesthesiology	anaesthesiology
anesthesiology's	anaesthesiology's
anesthetic	anaesthetic
anesthetic's	anaesthetic's
anestheticer	anaestheticer
anestheticest	anaestheticest
anesthetics	anaesthetics
anesthetist	anaesthetist
anesthetist's	anaesthetist's
anesthetists	anaesthetists
anesthetization	anaesthetisation
anesthetization's	anaesthetisation's
anesthetizations	anaesthetisations
anesthetize	anaesthetise
anesthetized	anaesthetised
anesthetizes	anaesthetises
anesthetizing	anaesthetising
anglicization	anglicisation
anglicization's	anglicisation's
anglicizations	anglicisations
anglicize	anglicise
anglicized	anglicised
anglicizes	anglicises
anglicizing	anglicising
animalize	animalise
animalized	animalised
animalizes	animalises
animalizing	animalising
annualize	annualise
annualized	annualised
annualizes	annualises
annualizing	annualising
anodize	anodise
anodized	anodised
anodizes	anodises
anodizing	anodising
antagonize	antagonise
antagonized	antagonised
antagonizes	antagonises
antagonizing	antagonising
anthologize	anthologise
anthologized	anthologised
anthologizes	anthologises
anthologizing	anthologising
anthropomorphize	anthropomorphise
anthropomorphized	anthropomorphised
anthropomorphizes	anthropomorphises
anthropomorphizing	anthropomorphising
aphorize	aphorise
aphorized	aphorised
aphorizes	aphorises
aphorizing	aphorising
apnea	apnoea
apnea's	apnoea's
apneas	apnoeas
apologize	apologise
apologized	apologised
apologizes	apologises
apologizing	apologising
apostatize	apostatise
apostatized	apostatised
apostatizes	apostatises
apostatizing	apostatising
